experiment,sample,type,seqtype,gene,Raw Fluorescence,Raw OD ,Fluorescence (Cells-PBS),OD-blank,Fluorescence (Cells-PBS) per OD,yHS023_norm
3,yRG010,extant,NA,BvDODAa2_co,1059,1.217,394.25,1.17575,335.317882202849,-52.7921130763428
3,yRG010,extant,NA,BvDODAa2_co,995,1.215,330.25,1.17375,281.36315228967,-106.746842989522
3,yRG010,extant,NA,BvDODAa2_co,1037,1.164,372.25,1.12275,331.551992874638,-56.5580024045539
3,yHS023,NA,NA,CYP76AD6,1223,1.263,558.25,1.22175,456.926539799468,68.816544520276
3,yHS023,NA,NA,CYP76AD6,1066,1.269,401.25,1.22775,326.817348808797,-61.2926464703954
3,yHS023,NA,NA,CYP76AD6,1180,1.215,515.25,1.17375,438.977635782748,50.8676405035556
3,yHS023,NA,NA,CYP76AD6,1060,1.24,395.25,1.19875,329.718456725756,-58.391538553436
3,Uninoc,NA,NA,NA,720,0.031,55.25,-0.01025,-5390.24390243902,-5778.35389771822
3,Uninoc,NA,NA,NA,652,0.03,-12.75,-0.01125,1133.33333333333,745.223338054141
3,Uninoc,NA,NA,NA,641,0.029,-23.75,-0.01225,1938.77551020408,1550.66551492489
3,Uninoc,NA,NA,NA,646,0.075,-18.75,0.03375,-555.555555555556,-943.665550834748
4,ySG084,extant,NA,Glotyphylum_uncatum@DN5796,4071,1.107,3453,1.0765,3207.61727821644,2935.63272307449
4,ySG084,extant,NA,Glotyphylum_uncatum@DN5796,3259,0.885,2641,0.8545,3090.6963136337,2818.71175849175
4,ySG084,extant,NA,Glotyphylum_uncatum@DN5796,4207,1.015,3589,0.9845,3645.50533265617,3373.52077751422
4,ySG084,extant,NA,Glotyphylum_uncatum@DN5796,3839,1.085,3221,1.0545,3054.52821242295,2782.543657281
4,ySG085,extant,NA,Glotyphylum_uncatum@DN16698,856,0.934,238,0.9035,263.420033204206,-8.56452193774641
4,ySG085,extant,NA,Glotyphylum_uncatum@DN16698,980,1.076,362,1.0455,346.24581539933,74.2612602573782
4,ySG085,extant,NA,Glotyphylum_uncatum@DN16698,835,0.909,217,0.8785,247.011952191235,-24.9726029507172
4,ySG085,extant,NA,Glotyphylum_uncatum@DN16698,822,0.891,204,0.8605,237.071470075537,-34.9130850664148
4,ySG086,extant,NA,Mirabilis_jalapa@KM502866.1_cds_AJD87535.1_1,843,0.914,225,0.8835,254.668930390492,-17.3156247514599
4,ySG086,extant,NA,Mirabilis_jalapa@KM502866.1_cds_AJD87535.1_1,901,1.029,283,0.9985,283.42513770656,11.4405825646076
4,ySG086,extant,NA,Mirabilis_jalapa@KM502866.1_cds_AJD87535.1_1,991,0.925,373,0.8945,416.992733370598,145.008178228646
4,ySG086,extant,NA,Mirabilis_jalapa@KM502866.1_cds_AJD87535.1_1,923,0.919,305,0.8885,343.275182892515,71.2906277505632
4,ySG087,extant,NA,Mirabilis_jalapa@KM502867.1_cds_AJD87536.1_1,21656,0.847,21038,0.8165,25766.0747091243,25494.0901539824
4,ySG087,extant,NA,Mirabilis_jalapa@KM502867.1_cds_AJD87536.1_1,22263,0.909,21645,0.8785,24638.5885031303,24366.6039479884
4,ySG087,extant,NA,Mirabilis_jalapa@KM502867.1_cds_AJD87536.1_1,24199,0.97,23581,0.9395,25099.5210218201,24827.5364666782
4,ySG087,extant,NA,Mirabilis_jalapa@KM502867.1_cds_AJD87536.1_1,22420,0.99,21802,0.9595,22722.2511724857,22450.2666173437
4,ySG088,extant,NA,Boerhavia_purpurascens@55323,897,0.909,279,0.8785,317.586795674445,45.6022405324928
4,ySG088,extant,NA,Boerhavia_purpurascens@55323,933,1.011,315,0.9805,321.264660887302,49.2801057453502
4,ySG088,extant,NA,Boerhavia_purpurascens@55323,863,0.914,245,0.8835,277.306168647425,5.32161350547278
4,ySG088,extant,NA,Boerhavia_purpurascens@55323,930,0.943,312,0.9125,341.917808219178,69.9332530772259
4,ySG089,extant,NA,Boerhavia_purpurascens@57223,24262,0.958,23644,0.9275,25492.1832884097,25220.1987332677
4,ySG089,extant,NA,Boerhavia_purpurascens@57223,26549,0.987,25931,0.9565,27110.2979613173,26838.3134061753
4,ySG089,extant,NA,Boerhavia_purpurascens@57223,24561,1.01,23943,0.9795,24444.1041347626,24172.1195796207
4,ySG089,extant,NA,Boerhavia_purpurascens@57223,22697,0.947,22079,0.9165,24090.5619203492,23818.5773652072
4,ySG090,extant,NA,Acleisanthes_chenopodioides@53954,959,1.008,341,0.9775,348.849104859335,76.8645497173828
4,ySG090,extant,NA,Acleisanthes_chenopodioides@53954,964,0.647,346,0.6165,561.232765612328,289.248210470375
4,ySG090,extant,NA,Acleisanthes_chenopodioides@53954,893,0.876,275,0.8455,325.251330573625,53.2667754316728
4,ySG090,extant,NA,Acleisanthes_chenopodioides@53954,879,0.878,261,0.8475,307.964601769911,35.9800466279593
4,ySG091,extant,NA,Acleisanthes_purpusiana@35413,8017,0.914,7399,0.8835,8374.64629315224,8102.66173801028
4,ySG091,extant,NA,Acleisanthes_purpusiana@35413,14043,1.047,13425,1.0165,13207.0831283817,12935.0985732398
4,ySG091,extant,NA,Acleisanthes_purpusiana@35413,16810,0.958,16192,0.9275,17457.6819407008,17185.6973855589
4,ySG091,extant,NA,Acleisanthes_purpusiana@35413,13461,1.008,12843,0.9775,13138.6189258312,12866.6343706893
4,ySG092,extant,NA,Acleisanthes_purpusiana@47741_ED,1145,1.012,527,0.9815,536.933265410087,264.948710268134
4,ySG092,extant,NA,Acleisanthes_purpusiana@47741_ED,1168,1.017,550,0.9865,557.526609224531,285.542054082579
4,ySG092,extant,NA,Acleisanthes_purpusiana@47741_ED,1102,0.906,484,0.8755,552.826956025128,280.842400883176
4,ySG092,extant,NA,Acleisanthes_purpusiana@47741_ED,1266,1.133,648,1.1025,587.755102040816,315.770546898864
4,ySG093,extant,NA,Acleisanthes_purpusiana@48633,891,0.647,273,0.6165,442.822384428224,170.837829286272
4,ySG093,extant,NA,Acleisanthes_purpusiana@48633,890,0.74,272,0.7095,383.368569415081,111.384014273129
4,ySG093,extant,NA,Acleisanthes_purpusiana@48633,928,0.985,310,0.9545,324.777370350969,52.7928152090169
4,ySG093,extant,NA,Acleisanthes_purpusiana@48633,853,0.965,235,0.9345,251.471375066881,-20.5131800750715
4,ySG094,extant,NA,Anisomeria_littoralis@3120,851,0.864,233,0.8335,279.544091181764,7.55953603981141
4,ySG094,extant,NA,Anisomeria_littoralis@3120,847,1.04,229,1.0095,226.844972758791,-45.1395823831608
4,ySG094,extant,NA,Anisomeria_littoralis@3120,953,0.982,335,0.9515,352.075669994745,80.0911148527929
4,ySG094,extant,NA,Anisomeria_littoralis@3120,1014,1.02,396,0.9895,400.202122283982,128.21756714203
4,ySG095,extant,NA,Anisomeria_littoralis@57030,2184,0.709,1566,0.6785,2308.03242446573,2036.04786932378
4,ySG095,extant,NA,Anisomeria_littoralis@57030,2191,1.062,1573,1.0315,1524.96364517693,1252.97909003497
4,ySG095,extant,NA,Anisomeria_littoralis@57030,2483,0.932,1865,0.9015,2068.7742651137,1796.78970997175
4,ySG095,extant,NA,Anisomeria_littoralis@57030,2408,1.006,1790,0.9755,1834.95643259867,1562.97187745672
4,ySG096,extant,NA,Rivina_humilis@15447,830,0.878,212,0.8475,250.147492625369,-21.8370625165835
4,ySG096,extant,NA,Rivina_humilis@15447,866,1.067,248,1.0365,239.2667631452,-32.717791996752
4,ySG096,extant,NA,Rivina_humilis@15447,1005,1.083,387,1.0525,367.695961995249,95.7114068532972
4,ySG096,extant,NA,Rivina_humilis@15447,823,1.017,205,0.9865,207.805372529143,-64.1791826128088
4,ySG097,extant,NA,Rivina_humilis@420,894,0.958,276,0.9275,297.574123989218,25.5895688472661
4,ySG097,extant,NA,Rivina_humilis@420,1015,1.012,397,0.9815,404.482934284259,132.498379142307
4,ySG097,extant,NA,Rivina_humilis@420,905,0.917,287,0.8865,323.745064861816,51.7605097198639
4,ySG097,extant,NA,Rivina_humilis@420,905,0.929,287,0.8985,319.421257651642,47.4367025096894
4,yAT011,extant,NA,McDODAa1,15049,1.03,14431,0.9995,14438.2191095548,14166.2345544128
4,yAT011,extant,NA,McDODAa1,12708,0.728,12090,0.6975,17333.3333333333,17061.3487781914
4,yAT011,extant,NA,McDODAa1,15778,0.929,15160,0.8985,16872.5653867557,16600.5808316137
4,yAT011,extant,NA,McDODAa1,14981,1.099,14363,1.0685,13442.2087037904,13170.2241486484
4,yRG008,extant,NA,McDODAa2,903,0.935,285,0.9045,315.091210613599,43.1066554716464
4,yRG008,extant,NA,McDODAa2,973,1.055,355,1.0245,346.510492923377,74.5259377814251
4,yRG008,extant,NA,McDODAa2,753,0.83,135,0.7995,168.855534709193,-103.129020432759
4,yRG008,extant,NA,McDODAa2,793,0.903,175,0.8725,200.573065902579,-71.4114892393735
